779636	9990079
781265	9992717
783887	9996610
785213	9996608
781174	10000828
780916	10000434
774868	9999678
785398	9997968
780827	9999859
785562	10000226
785068	10003567
784105	10007058
785463	10009458
787921	10011527
788211	10009215
788623	10009940
789665	10001889
790984	9998757
795653	9994367
797044	9993064
788142	9989187
791915	9993323
795407	9992113
800083	9994404
798207	9994207
796488	9996193
794220	9998544
784128	9989817
785543	9991748
788679	9992835
788137	9993940
788142	9994129
786733	9994612
786680	9994689
787141	9995689
784120	9992026
783719	9993684
781032	10000797
781018	10000769
781205	10001200
783116	9998641
788499	9988926
789748	9990351
793792	9993696
794785	10001511
792917	10000399
770156	10000076
772869	10007529
772676	10001433
767224	10001783
757663	10007065
754606	10004680
750889	9999491
781426	9992113
773653	10000737
779421	9996168
774928	9988493
774512	9988530
770945	9990075
770870	9995025
772110	9996702
770131	9991817
774334	9990077
776259	9991046
776993	9993939
779166	9994503
787108	10013759
788823	10015298
785657	10015323
788415	10018078
788278	10019189
788160	10018719
793245	10015135
